Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
57720	0.007431	0.001978	0.001565	0.004525	0.004769	0.000930	0.000508	0.000241	-105463.866
57730	0.009849	0.002828	0.001388	0.001555	0.005678	0.001021	0.000571	0.000558	-105840.411
57740	0.007378	0.002348	0.001542	0.007511	0.007114	0.001280	0.000765	0.000173	-106065.412
57750	0.005819	0.002130	0.002269	0.001939	0.006453	0.001161	0.000426	0.000302	-106704.625
57760	0.007019	0.004664	0.003216	0.008090	0.014131	0.002542	0.001521	0.000666	-103603.824
57770	0.004676	0.004737	0.002526	0.009804	0.014352	0.002582	0.001271	0.000919	-98225.132
57780	0.004792	0.001655	0.001380	0.003552	0.007346	0.001321	0.000881	0.000316	-106332.682
57790	0.010676	0.002085	0.002806	0.007241	0.011998	0.002158	0.001040	0.000374	-105475.963
57800	0.006483	0.001290	0.002018	0.002236	0.007422	0.001335	0.000828	0.000641	-105685.730
57810	0.010065	0.001725	0.004819	0.003630	0.010846	0.001785	0.001217	0.001031	-104300.558
57820	0.004071	0.001035	0.002566	0.002771	0.005237	0.000813	0.000407	0.000276	-107473.495
57830	0.002884	0.001290	0.004359	0.003440	0.006527	0.001013	0.000507	0.000260	-109853.905
57840	0.008497	0.001995	0.007918	0.001369	0.008622	0.001220	0.001106	0.000777	-105758.145
57850	0.006838	0.001475	0.004536	0.008143	0.006375	0.000902	0.000857	0.000135	-108150.989
57860	0.008544	0.001363	0.005205	0.003678	0.005890	0.000834	0.000785	0.000151	-106226.608
57870	0.006484	0.001379	0.008793	0.005209	0.005220	0.000733	0.000656	0.000135	-111447.684
57880	0.005555	0.001410	0.003625	0.002827	0.004920	0.000750	0.000597	0.000395	-110060.192
57890	0.007955	0.001869	0.003052	0.003489	0.006519	0.000994	0.000967	0.000898	-109268.127
57900	0.006572	0.002562	0.013390	0.010263	0.008937	0.001363	0.001284	0.000916	-108233.882
57910	0.004467	0.001456	0.016442	0.003571	0.005079	0.000775	0.000768	0.000544	-111465.724
57920	0.005945	0.002028	0.029884	0.011548	0.007076	0.001079	0.001056	0.000412	-109669.517
57930	0.005129	0.001246	0.034649	0.005245	0.004451	0.000663	0.000522	0.000323	-113470.229
57940	0.004013	0.000910	0.012626	0.002686	0.003703	0.000552	0.000497	0.000431	-112634.320
57950	0.003839	0.001140	0.005358	0.008285	0.004637	0.000691	0.000665	0.000583	-104410.626
57960	0.007162	0.002061	0.004821	0.004886	0.008386	0.001249	0.001106	0.000707	-107768.774
57970	0.005527	0.001912	0.003889	0.004148	0.007739	0.001159	0.001000	0.000613	-104746.200
57980	0.006072	0.001787	0.004893	0.016105	0.007351	0.001083	0.001014	0.000134	-103156.899
57990	0.004326	0.001716	0.006557	0.004800	0.007058	0.001040	0.000972	0.000171	-105036.861
58000	0.002781	0.001865	0.004380	0.001765	0.007021	0.001034	0.000841	0.000509	-105944.658
58010	0.005239	0.001810	0.002534	0.004143	0.006813	0.001004	0.000887	0.000629	-105975.678
58020	0.005988	0.001810	0.002613	0.006901	0.006813	0.001004	0.000933	0.000922	-103628.294
58030	0.004394	0.001810	0.001715	0.007350	0.006813	0.001004	0.000947	0.000922	-106149.096
58040	0.004596	0.001695	0.005449	0.004338	0.005543	0.000893	0.000683	0.000590	-106067.827
58050	0.003709	0.002929	0.013044	0.003579	0.009579	0.001543	0.000981	0.000974	-101720.085
58060	0.006519	0.003961	0.007639	0.003965	0.012953	0.002086	0.001326	0.001317	-98253.285
58070	0.006110	0.003699	0.003317	0.011361	0.014932	0.002405	0.001528	0.001519	-99106.296
58080	0.003484	0.002428	0.002177	0.010530	0.012713	0.002047	0.001496	0.001438	-101389.464
58090	0.002535	0.002412	0.002737	0.019365	0.009489	0.001528	0.000981	0.000354	-104973.424
58100	0.002567	0.003388	0.003762	0.004546	0.009608	0.001547	0.001013	0.000737	-103786.430
58110	0.002389	0.001801	0.001293	0.005259	0.005106	0.000822	0.000703	0.000469	-107828.162
58120	0.001781	0.001039	0.001847	0.002321	0.002946	0.000474	0.000325	0.000227	-113014.345
58130	0.002410	0.002094	0.012483	0.003623	0.005490	0.000861	0.000234	0.000228	-110229.860
58140	0.003827	0.003735	0.001688	0.001786	0.009060	0.001155	0.001018	0.000777	-109799.718
58150	0.004187	0.003555	0.002150	0.003404	0.008614	0.001099	0.000964	0.000403	-111272.290
58160	0.002027	0.006982	0.001546	0.005933	0.014181	0.001809	0.001624	0.001113	-103941.337
58170	0.001963	0.004843	0.007463	0.001737	0.011145	0.001421	0.001024	0.000533	-109219.847
58180	0.002525	0.004069	0.004746	0.005374	0.012653	0.001614	0.001022	0.000632	-97982.091
58190	0.002577	0.001575	0.002865	0.003121	0.008050	0.001027	0.000474	0.000388	-103827.422
58200	0.003026	0.002270	0.006033	0.002266	0.009454	0.001206	0.000564	0.000535	-104749.545
58210	0.004041	0.001951	0.005183	0.013537	0.008699	0.001036	0.000490	0.000042	-106629.821
58220	0.002030	0.001039	0.005578	0.012014	0.004667	0.000556	0.000276	0.000027	-114054.366
58230	0.004016	0.001528	0.001106	0.003514	0.006865	0.000818	0.000761	0.000138	-114376.710
58240	0.004986	0.002674	0.009697	0.004055	0.013960	0.001431	0.001300	0.000163	-107286.790
58250	0.004638	0.001410	0.008374	0.005757	0.007363	0.000755	0.000717	0.000054	-107296.936
58260	0.004410	0.001897	0.003565	0.003999	0.009905	0.001015	0.000985	0.000330	-103143.462
58270	0.003630	0.003000	0.002094	0.001519	0.008123	0.000833	0.000808	0.000449	-100129.445
58280	0.007087	0.005998	0.001097	0.003148	0.016903	0.001733	0.001693	0.000849	-102704.499
58290	0.003004	0.001846	0.003236	0.007648	0.005201	0.000533	0.000480	0.000201	-104299.251
58300	0.003166	0.001945	0.007331	0.002560	0.005482	0.000562	0.000390	0.000262	-107657.706
58310	0.008898	0.003812	0.006019	0.005536	0.010742	0.001101	0.000949	0.000830	-103576.291
58320	0.006413	0.002152	0.002687	0.003102	0.008062	0.000827	0.000750	0.000456	-108894.541
58330	0.003867	0.001612	0.001990	0.006478	0.006038	0.000619	0.000530	0.000450	-107452.692
58340	0.002588	0.002992	0.001859	0.033141	0.011208	0.001149	0.001052	0.000767	-104661.005
58350	0.002804	0.003241	0.006701	0.046135	0.012139	0.001245	0.001070	0.000807	-108500.377
58360	0.001634	0.001889	0.003348	0.020376	0.007074	0.000725	0.000622	0.000482	-105784.963
58370	0.002008	0.001644	0.003699	0.007445	0.004000	0.000410	0.000364	0.000343	-112238.128
58380	0.005260	0.006507	0.004554	0.023892	0.015835	0.001623	0.001494	0.001123	-100318.797
58390	0.002227	0.002738	0.002644	0.007267	0.004997	0.000512	0.000364	0.000246	-104970.997
58400	0.005006	0.006353	0.008698	0.003423	0.010412	0.001067	0.000451	0.000311	-108525.717
