Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
26260	0.142440	0.036784	0.021036	0.003674	0.010012	0.003288	0.001439	0.004745	0.002836	0.041664	0.017840	0.009211	0.001999	0.000285	0.001925	0.001567	0.000285	0.661940	0.016713	-75444.676
26270	0.138533	0.028107	0.021842	0.003463	0.005154	0.003098	0.001714	0.002169	0.003887	0.039263	0.015001	0.009293	0.001883	0.000666	0.001814	0.001136	0.000666	0.521268	0.016713	-75420.923
26280	0.120987	0.044651	0.026810	0.003489	0.006927	0.004964	0.002759	0.003475	0.010011	0.037782	0.013450	0.006064	0.001812	0.000233	0.001746	0.000762	0.000233	0.686885	0.016713	-75411.062
26290	0.094202	0.038403	0.014386	0.002532	0.003697	0.005633	0.009680	0.003277	0.002945	0.040359	0.014858	0.006818	0.002376	0.000135	0.002010	0.000510	0.000135	0.403267	0.040831	-75441.516
26300	0.126610	0.031768	0.014089	0.004175	0.005664	0.008035	0.002014	0.001989	0.003361	0.042145	0.015515	0.010225	0.001767	0.001080	0.002003	0.000960	0.001080	0.585064	0.044849	-75453.146
26310	0.128292	0.036618	0.017826	0.002243	0.004027	0.003230	0.001325	0.006028	0.002412	0.044365	0.017150	0.009332	0.002641	0.001377	0.002109	0.001510	0.001377	0.719112	0.044849	-75461.782
26320	0.118346	0.045243	0.010960	0.002613	0.007513	0.005736	0.003119	0.003742	0.007781	0.043437	0.016791	0.010525	0.002743	0.001895	0.002110	0.000991	0.001895	0.588132	0.071310	-75396.532
26330	0.111283	0.052990	0.013225	0.002876	0.002434	0.005227	0.006747	0.003975	0.002315	0.046466	0.016303	0.010309	0.002881	0.001885	0.002257	0.000986	0.001885	0.500591	0.011014	-75411.404
26340	0.116142	0.028681	0.018265	0.002995	0.004144	0.008214	0.003165	0.002944	0.002411	0.048379	0.017669	0.008882	0.003000	0.000891	0.003025	0.000461	0.000891	0.631581	0.011014	-75410.156
26350	0.154132	0.038105	0.017520	0.002622	0.003788	0.003429	0.002893	0.001899	0.002204	0.044226	0.016185	0.008119	0.002844	0.000688	0.003360	0.000421	0.000688	0.614699	0.011014	-75414.653
26360	0.102550	0.036627	0.026611	0.002496	0.008565	0.002923	0.001475	0.012853	0.001790	0.042112	0.015412	0.007824	0.002708	0.001326	0.002602	0.000749	0.001326	0.513640	0.011014	-75409.051
26370	0.126286	0.045025	0.027055	0.002110	0.003177	0.003632	0.001715	0.006956	0.008366	0.048536	0.017365	0.008893	0.003085	0.002772	0.002876	0.001770	0.002772	0.672875	0.058416	-75431.552
26380	0.107317	0.035756	0.030662	0.002254	0.003340	0.003881	0.001998	0.017363	0.003147	0.051860	0.018554	0.008830	0.003296	0.002531	0.003073	0.000259	0.002531	0.646155	0.042241	-75475.766
26390	0.086420	0.050295	0.016009	0.002172	0.013368	0.003628	0.008706	0.002736	0.003695	0.049971	0.017544	0.008508	0.003176	0.000404	0.001986	0.000078	0.000404	0.365499	0.025902	-75401.240
26400	0.064339	0.035149	0.029515	0.002594	0.006729	0.004212	0.002239	0.018580	0.013540	0.047126	0.016545	0.007917	0.002807	0.001337	0.001873	0.000226	0.001337	0.550884	0.025902	-75427.299
26410	0.074246	0.040336	0.029806	0.002336	0.007206	0.003414	0.003051	0.002190	0.003174	0.050465	0.017718	0.008478	0.003395	0.001875	0.002133	0.000961	0.001875	0.497719	0.028236	-75402.147
26420	0.088779	0.037185	0.019388	0.002437	0.009204	0.002348	0.004740	0.002712	0.013433	0.047444	0.016657	0.008161	0.003065	0.000731	0.002444	0.000391	0.000731	0.482683	0.028236	-75428.133
26430	0.091334	0.041735	0.012765	0.005687	0.011261	0.005018	0.001654	0.003611	0.006673	0.053536	0.016446	0.009208	0.003459	0.001018	0.002758	0.001956	0.001018	0.352797	0.071225	-75428.294
26440	0.082628	0.058629	0.024419	0.003516	0.016588	0.002078	0.002658	0.003436	0.002031	0.049538	0.015218	0.006332	0.003329	0.000585	0.002630	0.001070	0.000585	0.298025	0.026556	-75460.238
