Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
66240	0.179135	0.015550	0.032025	0.005236	0.009460	0.003338	0.003746	0.030181	0.022232	0.003683	0.002840	0.002789	0.000767	0.872485	-75678.273
66250	0.089069	0.010371	0.032163	0.003645	0.005249	0.001996	0.004478	0.026588	0.022534	0.003081	0.001547	0.002600	0.000897	0.825272	-75696.648
66260	0.133769	0.004676	0.030700	0.001754	0.005146	0.003861	0.004519	0.026464	0.023324	0.003018	0.002291	0.002828	0.000116	0.962224	-75760.280
66270	0.142987	0.004591	0.034675	0.002297	0.002513	0.001834	0.005230	0.028590	0.024939	0.003261	0.002065	0.002965	0.000125	0.864975	-75795.272
66280	0.135487	0.004639	0.030211	0.001838	0.010333	0.002011	0.006770	0.028888	0.025199	0.003295	0.002573	0.003216	0.000825	0.653246	-75740.485
66290	0.152365	0.004031	0.027159	0.007205	0.008731	0.010145	0.004619	0.030495	0.026886	0.003478	0.000866	0.003324	0.000279	0.801928	-75712.698
66300	0.103280	0.004159	0.032832	0.003791	0.014702	0.001934	0.002558	0.028394	0.025410	0.003238	0.001135	0.003117	0.000241	0.954864	-75751.004
66310	0.115754	0.006206	0.022649	0.003284	0.005612	0.005660	0.002754	0.031452	0.026749	0.003587	0.002331	0.003529	0.000647	0.984180	-75697.056
66320	0.121187	0.006528	0.023501	0.003271	0.001862	0.002262	0.002858	0.032635	0.027755	0.003722	0.002676	0.002445	0.001589	0.924517	-75627.564
66330	0.133046	0.015266	0.023601	0.005887	0.004190	0.002230	0.005271	0.036206	0.026160	0.004114	0.003101	0.003792	0.002945	0.985274	-75666.747
66340	0.161184	0.018172	0.026729	0.006336	0.014861	0.005129	0.003423	0.037729	0.024398	0.004287	0.003145	0.002364	0.000555	0.906918	-75662.071
66350	0.150349	0.015029	0.022442	0.006386	0.009574	0.005237	0.004804	0.041986	0.027152	0.004771	0.003040	0.004096	0.000317	0.881569	-75813.248
66360	0.114476	0.007527	0.028474	0.003706	0.004749	0.002680	0.001949	0.035336	0.028104	0.004015	0.003438	0.003770	0.000389	0.859095	-75715.319
66370	0.122210	0.007554	0.028895	0.003007	0.010013	0.006582	0.003211	0.035859	0.028520	0.004075	0.002291	0.003816	0.001406	0.789723	-75658.876
66380	0.119976	0.008394	0.032216	0.002799	0.003136	0.005208	0.003485	0.035859	0.030022	0.004075	0.002316	0.003777	0.000546	0.806427	-75714.390
66390	0.114425	0.006273	0.025814	0.001625	0.004056	0.005236	0.004752	0.031057	0.026002	0.003529	0.002676	0.002049	0.000590	0.978564	-75786.978
66400	0.130580	0.007185	0.026085	0.004943	0.003449	0.016027	0.001437	0.031634	0.024530	0.003595	0.002110	0.002384	0.000474	0.978564	-75679.993
66410	0.166048	0.009793	0.024686	0.001624	0.010846	0.003541	0.005192	0.030027	0.024217	0.003412	0.003050	0.002596	0.001164	0.978564	-75707.976
66420	0.165409	0.008509	0.035830	0.004671	0.006852	0.011264	0.007527	0.031248	0.024947	0.003551	0.002477	0.003020	0.000977	0.978564	-75756.341
66430	0.117230	0.007749	0.025697	0.005902	0.003625	0.019513	0.006860	0.028478	0.022749	0.003236	0.001654	0.002235	0.000836	0.954067	-75641.900
66440	0.148052	0.008125	0.031216	0.002681	0.005232	0.002420	0.004992	0.027299	0.021807	0.003102	0.002298	0.001225	0.000372	0.921405	-75684.982
66450	0.143312	0.008561	0.020630	0.007115	0.006729	0.003193	0.002236	0.028764	0.022978	0.003269	0.001199	0.001559	0.000313	0.904337	-75723.636
66460	0.146445	0.007219	0.024614	0.002918	0.003860	0.004902	0.005140	0.027361	0.024257	0.003109	0.002218	0.002925	0.002148	0.951046	-75741.320
66470	0.118809	0.006293	0.025635	0.004046	0.001893	0.006588	0.007839	0.028496	0.025263	0.003238	0.002461	0.002977	0.001731	0.897688	-75675.011
66480	0.165449	0.006895	0.027907	0.004553	0.005683	0.002214	0.002554	0.031022	0.027349	0.003525	0.002597	0.002719	0.001386	0.980798	-75711.821
66490	0.182414	0.004745	0.025419	0.003882	0.015321	0.001219	0.002683	0.032581	0.028723	0.003702	0.002659	0.003319	0.000990	0.906380	-75654.047
66500	0.142557	0.004163	0.018759	0.002837	0.001150	0.011053	0.002489	0.030230	0.026651	0.003435	0.002303	0.003071	0.001747	0.967186	-75736.107
66510	0.134262	0.004133	0.036400	0.005247	0.003464	0.001582	0.002489	0.030230	0.026822	0.003435	0.001765	0.002100	0.000418	0.883025	-75689.819
66520	0.167012	0.009789	0.039662	0.006611	0.002870	0.003070	0.005564	0.036051	0.030929	0.004097	0.002391	0.003926	0.000309	0.940485	-75711.998
