Gen	theta_6PmunDintDcelDludDgol	theta_7DintDcelDludDgol	theta_8DcelDludDgol	theta_9DludDgol	tau_6PmunDintDcelDludDgol	tau_7DintDcelDludDgol	tau_8DcelDludDgol	tau_9DludDgol	lnL
3840	0.001458	0.002426	0.013029	0.003222	0.006355	0.005540	0.004451	0.003353	-103862.816
3850	0.001644	0.002580	0.007427	0.006346	0.007167	0.006109	0.005716	0.002923	-104315.216
3860	0.002834	0.002509	0.006489	0.017941	0.012354	0.011055	0.010198	0.001738	-104296.371
3870	0.003705	0.002760	0.010784	0.019515	0.016151	0.014663	0.013333	0.003609	-100643.622
3880	0.001634	0.004359	0.008677	0.011618	0.010883	0.008922	0.008209	0.005298	-103847.597
3890	0.001721	0.001699	0.001895	0.006523	0.005908	0.004995	0.004821	0.001837	-103479.343
3900	0.001821	0.001900	0.002884	0.006371	0.006250	0.005275	0.004845	0.003648	-105533.770
3910	0.001837	0.001410	0.011084	0.010756	0.006304	0.005385	0.003596	0.002930	-104111.850
3920	0.003911	0.001963	0.005113	0.008122	0.005902	0.004550	0.003898	0.003264	-106155.166
3930	0.001913	0.001010	0.002357	0.002409	0.003418	0.002693	0.002375	0.001754	-110760.706
3940	0.004285	0.002977	0.005554	0.007407	0.007656	0.005964	0.005462	0.003576	-105631.361
3950	0.004661	0.002367	0.005889	0.003273	0.008329	0.006488	0.006435	0.006197	-107414.997
3960	0.004329	0.001507	0.004532	0.008060	0.007036	0.005481	0.005436	0.000666	-106002.687
3970	0.013635	0.003859	0.005935	0.005153	0.018022	0.014037	0.013971	0.006927	-105220.319
3980	0.003702	0.001633	0.002791	0.003590	0.007487	0.005938	0.005910	0.001779	-106638.642
3990	0.002512	0.002942	0.001610	0.002939	0.008728	0.006924	0.006891	0.002955	-104990.737
4000	0.002753	0.002302	0.006596	0.001329	0.009566	0.007653	0.007508	0.006042	-102369.456
4010	0.003256	0.004555	0.002540	0.006528	0.011314	0.008982	0.008880	0.001720	-104658.356
4020	0.004449	0.006224	0.002630	0.004431	0.015458	0.012272	0.012108	0.004731	-101320.475
4030	0.002938	0.003223	0.002369	0.006253	0.014202	0.011233	0.011066	0.003787	-103518.727
4040	0.002277	0.002357	0.002388	0.004617	0.010764	0.008215	0.008093	0.004960	-102934.584
4050	0.003435	0.003950	0.009391	0.004806	0.018509	0.013765	0.013382	0.010048	-101354.847
4060	0.002440	0.004092	0.004492	0.007807	0.013151	0.009780	0.009508	0.005500	-104905.029
4070	0.001207	0.003658	0.004651	0.003040	0.007828	0.005596	0.005381	0.003565	-106730.844
4080	0.002018	0.006118	0.005213	0.013278	0.013091	0.009358	0.009307	0.004572	-102273.314
4090	0.003130	0.005808	0.001776	0.011176	0.012429	0.008885	0.008836	0.007438	-102200.869
4100	0.001837	0.003031	0.021073	0.012209	0.007235	0.005150	0.004977	0.004053	-106260.060
4110	0.002624	0.002235	0.008299	0.013848	0.006531	0.004649	0.004570	0.004215	-113745.229
4120	0.005814	0.002529	0.010378	0.010863	0.007390	0.005261	0.005077	0.004925	-108029.219
4130	0.004507	0.002949	0.007749	0.023215	0.010142	0.007279	0.007099	0.001135	-101755.509
4140	0.003322	0.002549	0.001101	0.003090	0.007475	0.005365	0.005296	0.003721	-102765.471
4150	0.003263	0.003180	0.002871	0.003587	0.007341	0.005269	0.005077	0.001155	-106662.311
4160	0.004624	0.004058	0.002476	0.002967	0.009030	0.006106	0.005843	0.001405	-105354.576
4170	0.003329	0.002779	0.002049	0.002304	0.007314	0.005033	0.004834	0.001239	-108777.658
4180	0.003242	0.003037	0.001813	0.004358	0.008314	0.005508	0.005291	0.001356	-107468.502
4190	0.003225	0.004011	0.004286	0.006761	0.010396	0.006486	0.006230	0.001617	-111188.158
4200	0.002067	0.003732	0.011659	0.006491	0.009131	0.006035	0.005797	0.000936	-105063.802
4210	0.002127	0.001994	0.003256	0.002590	0.004182	0.002660	0.002595	0.000485	-112852.759
4220	0.003609	0.003326	0.004988	0.001857	0.006934	0.004438	0.004329	0.001789	-110993.312
4230	0.006492	0.004856	0.003701	0.002846	0.011454	0.007332	0.007151	0.003184	-102353.876
4240	0.002082	0.003197	0.003825	0.002278	0.007360	0.004826	0.004638	0.003861	-105427.879
4250	0.003598	0.007038	0.016272	0.004786	0.012719	0.008341	0.007907	0.004777	-103696.566
4260	0.002265	0.004503	0.010169	0.004366	0.008139	0.005337	0.005331	0.003392	-106210.416
4270	0.001214	0.002949	0.004488	0.004401	0.004362	0.002826	0.002741	0.001806	-106127.144
4280	0.003774	0.003826	0.003606	0.009044	0.013561	0.008785	0.008574	0.006692	-101618.317
4290	0.001578	0.002756	0.003248	0.012293	0.009769	0.006329	0.005573	0.004337	-100982.007
4300	0.002658	0.001990	0.003346	0.007432	0.012164	0.009407	0.008244	0.005997	-103784.828
4310	0.004032	0.002999	0.002193	0.004744	0.015424	0.012136	0.011067	0.010170	-100306.903
4320	0.004513	0.005516	0.003431	0.005540	0.028369	0.022322	0.020645	0.018706	-101908.722
4330	0.001770	0.005559	0.001423	0.004148	0.019047	0.014987	0.013857	0.012000	-103190.870
4340	0.001616	0.003135	0.004231	0.002861	0.021656	0.018504	0.014451	0.013644	-104997.040
4350	0.002562	0.001884	0.001796	0.003844	0.013054	0.011119	0.008683	0.008198	-108138.907
4360	0.005495	0.001602	0.003350	0.012194	0.020071	0.017759	0.013351	0.010039	-106340.831
4370	0.004168	0.001368	0.006324	0.003811	0.015223	0.013139	0.008705	0.007262	-99913.654
4380	0.004394	0.001344	0.009345	0.003391	0.017255	0.014959	0.009875	0.006982	-107676.329
4390	0.004745	0.001333	0.007760	0.003349	0.015106	0.012329	0.008735	0.004321	-99884.534
4400	0.003131	0.001406	0.007144	0.007710	0.011633	0.008818	0.008185	0.001910	-102920.786
4410	0.004358	0.001442	0.009883	0.004576	0.011936	0.009048	0.008725	0.003107	-99624.981
4420	0.003745	0.001431	0.007265	0.003325	0.012219	0.008977	0.008835	0.002026	-99490.381
4430	0.003839	0.001169	0.003480	0.001951	0.009982	0.007334	0.007218	0.002304	-104531.248
4440	0.002744	0.001726	0.002514	0.001643	0.013627	0.010011	0.009853	0.007480	-103105.907
4450	0.003316	0.002128	0.003640	0.002672	0.017023	0.012343	0.012148	0.006990	-104373.908
4460	0.005054	0.002440	0.008554	0.004392	0.025208	0.018278	0.017989	0.010352	-100737.471
4470	0.006870	0.002281	0.002802	0.009243	0.022279	0.016154	0.015898	0.006507	-105780.421
4480	0.006321	0.003099	0.002479	0.004260	0.030270	0.021949	0.021602	0.016205	-101455.117
4490	0.003681	0.002572	0.006121	0.004173	0.021427	0.014820	0.014586	0.011455	-101189.782
4500	0.002721	0.001901	0.010602	0.006710	0.015837	0.010954	0.010736	0.002790	-103205.146
4510	0.003077	0.002150	0.018044	0.003616	0.017908	0.012387	0.012071	0.004242	-101534.864
4520	0.002451	0.001770	0.012791	0.002704	0.020601	0.014249	0.013886	0.007507	-104949.350
4530	0.002188	0.001181	0.010027	0.004782	0.018394	0.012723	0.012399	0.005552	-108142.136
4540	0.003823	0.001987	0.010682	0.008648	0.032139	0.022229	0.021874	0.016214	-103386.621
4550	0.003342	0.002834	0.019361	0.003427	0.028093	0.019431	0.019200	0.015398	-99273.751
4560	0.003594	0.004246	0.001762	0.004059	0.030215	0.020899	0.020650	0.014213	-102816.272
4570	0.002063	0.001983	0.001640	0.002829	0.014109	0.009759	0.009643	0.002317	-106246.536
4580	0.003364	0.003566	0.011842	0.004237	0.025376	0.017552	0.017343	0.012959	-102701.141
4590	0.003272	0.002504	0.004394	0.002860	0.017817	0.012323	0.011982	0.009463	-101951.897
4600	0.001779	0.001731	0.006644	0.002648	0.012315	0.008518	0.008282	0.003970	-103967.079
4610	0.002493	0.002426	0.003752	0.004497	0.017265	0.011942	0.011610	0.004594	-102024.833
4620	0.001410	0.001844	0.002129	0.002919	0.013125	0.009078	0.008491	0.002486	-104760.359
4630	0.002351	0.001944	0.001568	0.003450	0.013837	0.009571	0.008952	0.002338	-100159.177
4640	0.003411	0.002404	0.001939	0.002040	0.017109	0.011834	0.011069	0.006046	-100855.023
4650	0.004831	0.003054	0.003772	0.002331	0.016791	0.011614	0.010863	0.002220	-103897.956
4660	0.005940	0.002022	0.002650	0.002423	0.019133	0.013234	0.012378	0.003449	-106608.550
4670	0.003448	0.002131	0.002554	0.002265	0.018443	0.012757	0.011932	0.006088	-102243.886
4680	0.003425	0.002366	0.001566	0.001388	0.011304	0.007818	0.007313	0.003732	-103729.051
4690	0.004113	0.005744	0.002811	0.002779	0.014685	0.010994	0.009092	0.003638	-100818.447
4700	0.002964	0.004360	0.002231	0.002368	0.014685	0.011543	0.010345	0.004270	-99506.171
4710	0.001949	0.001761	0.002314	0.001283	0.009654	0.008072	0.006287	0.003405	-102724.874
4720	0.002794	0.001995	0.005823	0.002068	0.011533	0.009941	0.008348	0.002224	-108809.975
4730	0.003546	0.001825	0.002068	0.001623	0.011486	0.010569	0.009337	0.002811	-98897.013
4740	0.002980	0.003053	0.003854	0.002215	0.013812	0.012292	0.011227	0.006174	-105760.186
4750	0.002952	0.005417	0.003957	0.006881	0.013682	0.011722	0.011122	0.003119	-100242.851
4760	0.001792	0.003445	0.005157	0.002418	0.008304	0.007027	0.006760	0.003945	-102866.839
4770	0.002364	0.003198	0.002809	0.004724	0.010957	0.009272	0.009235	0.005437	-106992.207
4780	0.002681	0.004976	0.008521	0.002894	0.017049	0.014426	0.014368	0.013058	-107893.255
4790	0.002773	0.008050	0.002498	0.007778	0.017633	0.014959	0.014795	0.012785	-101965.502
4800	0.002826	0.002217	0.005256	0.002512	0.009992	0.008415	0.007956	0.007192	-101760.538
4810	0.003682	0.002821	0.003097	0.002470	0.013015	0.010975	0.010641	0.009171	-101171.720
4820	0.002156	0.002797	0.008154	0.007547	0.016680	0.014052	0.013508	0.007925	-103924.834
4830	0.001214	0.001446	0.003315	0.003265	0.009387	0.007935	0.007602	0.005848	-103465.823
4840	0.001967	0.003751	0.006765	0.005981	0.015216	0.012915	0.012010	0.006096	-100851.440
4850	0.002671	0.002238	0.004994	0.015370	0.016797	0.014589	0.013258	0.003708	-102279.612
4860	0.002623	0.004823	0.005210	0.009288	0.016493	0.013930	0.013018	0.006115	-103159.547
4870	0.001911	0.006316	0.008537	0.005205	0.012016	0.010149	0.009485	0.007153	-100493.786
4880	0.001984	0.004022	0.015925	0.007377	0.012043	0.010778	0.009590	0.007265	-103008.652
4890	0.002907	0.004926	0.013446	0.007040	0.013291	0.012239	0.011497	0.003069	-101417.804
4900	0.001673	0.002604	0.010585	0.009450	0.011875	0.010861	0.010273	0.002954	-102386.484
4910	0.001938	0.002068	0.004191	0.002633	0.013864	0.013200	0.011173	0.006476	-100148.446
4920	0.001562	0.001639	0.002059	0.002908	0.011171	0.010667	0.008675	0.006502	-109875.791
4930	0.001690	0.004760	0.001594	0.004042	0.012091	0.011938	0.009389	0.001964	-107309.789
4940	0.002205	0.002809	0.002293	0.005943	0.011624	0.011425	0.007960	0.002953	-100999.651
4950	0.002141	0.003547	0.001373	0.002963	0.006614	0.005722	0.004466	0.003776	-111099.194
4960	0.003685	0.005343	0.005196	0.008862	0.011497	0.009881	0.007047	0.002039	-104940.897
4970	0.002221	0.003385	0.004177	0.006393	0.006929	0.006100	0.004431	0.001220	-108322.306
4980	0.002286	0.001340	0.002558	0.011778	0.007132	0.006456	0.004650	0.000677	-109962.778
4990	0.001792	0.002041	0.007186	0.003762	0.007893	0.006638	0.004734	0.002445	-108044.281
5000	0.005506	0.002304	0.002916	0.001790	0.006789	0.005856	0.005340	0.002147	-103597.274
5010	0.006900	0.002439	0.002290	0.001856	0.008717	0.007660	0.006857	0.003414	-104742.921
5020	0.003348	0.002107	0.001958	0.001827	0.007454	0.006703	0.005863	0.001742	-102947.062
5030	0.009170	0.001974	0.002580	0.006674	0.015615	0.015105	0.012542	0.002587	-102026.098
5040	0.006646	0.003809	0.003731	0.001878	0.011038	0.010678	0.005262	0.003774	-99926.662
5050	0.006433	0.009945	0.001723	0.004842	0.012753	0.012337	0.007024	0.005397	-103269.847
5060	0.004724	0.001333	0.001750	0.005899	0.009826	0.009505	0.005692	0.002908	-102593.807
